date,nav,bench
2022-01-18,219.5929942641835,185.27058746331716
2022-01-19,216.4429429373279,183.4754003491196
2022-01-20,213.63288461307172,181.45031291110098
2022-01-21,209.23845245735117,178.01821256451123
2022-01-24,213.06845500306022,178.51163257690752
2022-01-25,207.71477740259925,176.33880571999597
2022-01-26,209.1243437238637,176.07489074200566
2022-01-27,207.25118328912902,175.1268879022465
2022-01-28,211.9100544329379,179.39081552949807
2022-01-31,218.20664687002576,182.77878181289213
2022-02-01,219.86397113871604,184.0331932427646
2022-02-02,221.88353173691928,185.76724884891723
2022-02-03,215.25218540657315,181.2361846349423
2022-02-04,217.80434031883922,182.17080692800042
2022-02-07,218.6615516296107,181.49646295031368
2022-02-08,222.76877784498657,183.02125234011334
2022-02-09,227.65338835633855,185.67820990816637
2022-02-10,222.3514579437346,182.31451439485934
2022-02-11,216.81802123347404,178.8561075376948
2022-02-14,216.004402282789,178.16919335660796
2022-02-15,219.2754813054907,180.9783373494738
2022-02-16,219.90383872295152,181.13781686399514
2022-02-17,213.13578200602694,177.30256084294678
2022-02-18,211.32375839862385,176.03198207599675
2022-02-22,207.52825072021963,174.2464993169399
2022-02-23,205.1462036118662,171.03825136612022
2022-02-24,211.37616750353718,173.59644587381098
2022-02-25,216.21198524477663,177.48026319950415
2022-02-28,215.53380272874267,177.046749297966
2022-03-01,210.2585166765811,174.30721577109898
2022-03-02,214.9559202511546,177.5567714657964
2022-03-03,212.48171733935644,176.6237698593402
2022-03-04,209.70088357758462,175.22242935387573
2022-03-07,201.2959485934835,170.05018594414085
2022-03-08,201.71335653997545,168.82008481329692
2022-03-09,209.04950985161372,173.1584652018822
2022-03-10,207.1423117131998,172.4153013370269
2022-03-11,203.88887400453527,170.1805326287695
2022-03-14,203.01731633120133,168.91762247647236
2022-03-15,208.50414651844875,172.53390792602713
2022-03-16,215.96211638006196,176.39586574706536
2022-03-17,219.7684801773115,178.5739697176685
2022-03-18,224.24077532456673,180.6565520011131
2022-03-21,222.88345478645905,180.5780277588039
2022-03-22,225.58344927198073,182.61930229837077
2022-03-23,220.29570774098212,180.37807060817647
2022-03-24,226.20361223180038,182.96539794575997
2022-03-25,226.5686659592585,183.8923318596944
2022-03-28,228.46207498760788,185.20623434653916
2022-03-29,232.87345504462886,187.47622334168184
2022-03-30,228.457077841885,186.2963042020846
2022-03-31,226.09091337777326,183.380293715847
2022-04-01,225.75900992884115,184.00566133500305
2022-04-04,229.6215817158133,185.49443985908724
2022-04-05,225.88546717540484,183.16616543968834
2022-04-06,223.4438295420843,181.3863550837381
2022-04-07,224.86545846978757,182.15786119965594
2022-04-08,224.17741365207428,181.67495588570128
2022-04-11,221.47544031132966,178.60877495066788
2022-04-12,219.89616905404156,177.99838880034406
2022-04-13,223.19774069278458,179.98744560817647
2022-04-14,221.42849308150184,177.8016532584497
2022-04-18,219.67850202962987,177.7652273388484
2022-04-19,222.71902799407462,180.61971102762598
2022-04-20,221.08133724912352,180.50800223891926
2022-04-21,215.5604300877371,177.84497697834448
2022-04-22,210.6601149516026,172.91154766874115
2022-04-25,213.83016333574454,173.89678677140253
2022-04-26,206.17738456332864,169.00223417577413
2022-04-27,205.7323800551044,169.3568087811172
2022-04-28,213.01328078725894,173.5478648046954
2022-04-29,206.66233386555902,167.25076607088647
2022-05-02,210.29246053983516,168.1999547788909
2022-05-03,212.61042497962663,169.0135592175167
2022-05-04,217.97686262837183,174.06071329184377
2022-05-05,208.2796305439348,167.85549958257437
2022-05-06,205.6164619977977,166.90304973689535
2022-05-09,199.02809603618226,161.5559599366272
2022-05-10,201.83152318888972,161.95304791856407
2022-05-11,197.4139803034151,159.28678128478546
2022-05-12,200.74295465361658,159.08035126998584
2022-05-13,206.95240364825352,162.87755080259564
2022-05-16,206.1770127784467,162.2347706847045
2022-05-17,211.64563978365422,165.50698634512244
2022-05-18,203.83905400649954,158.82128846956587
2022-05-19,204.53861171646824,157.89475972728192
2022-05-20,205.07001315437196,157.91783474688827
2022-05-23,206.70529962303235,160.84800647642177
2022-05-24,201.8580663776106,159.54179236870067
2022-05-25,205.28771127712173,161.04958431365108
2022-05-26,209.96528996718874,164.25177445418439
2022-05-27,216.90322002238483,168.31573504857315
2022-05-31,213.9715361052907,167.25966008272616
2022-06-01,211.11308372877164,166.00809473664236
2022-06-02,216.1054098298249,169.06779292526818
2022-06-03,213.44298045892106,166.3039886283141
2022-06-06,214.16361125022792,166.8257508917729
2022-06-07,217.0973445751815,168.41449810893542
2022-06-08,214.9811967405837,166.59664114678202
2022-06-09,208.5983147652472,162.63185866664136
2022-06-10,201.61674514208354,157.89759592883524
2022-06-13,191.55693945619805,151.77615392886054
2022-06-14,191.05352328570322,151.20339933085407
2022-06-15,194.09811098560886,153.40983567028434
2022-06-16,185.58504248021637,148.42218253516495
2022-06-17,188.01401455488022,148.74883982556668
2022-06-21,192.252979494449,152.38980121685896
2022-06-22,193.18171800095465,152.19145487059805
2022-06-23,197.62453882962512,153.64217690624366
2022-06-24,204.87167525915444,158.3379878661961
2022-06-27,203.30026827423387,157.86723770175573
2022-06-28,197.64478486084485,154.68731223752783
2022-06-29,196.8196159026502,154.57721425318763
2022-06-30,195.41564574545353,153.2232294196519
2022-07-01,196.48453289972903,154.84031888787695
2022-07-05,197.6634906445778,155.08560585218075
2022-07-06,196.5680346835997,155.63975220097146
2022-07-07,200.72777906202634,157.96883696367132
2022-07-08,200.84203969614012,157.83767993574176
2022-07-11,196.9490692855602,156.01821216922184
2022-07-12,195.658660824331,154.5759987382362
2022-07-13,195.02277456853514,153.88706858113238
2022-07-14,194.8103063895894,153.42561760018214
2022-07-15,198.9004960637477,156.37158114184882
2022-07-18,196.896151896971,155.0637562297612
2022-07-19,203.69024554223805,159.34790291059502
2022-07-20,205.162422280261,160.2873872634588
2022-07-21,209.03122348366617,161.86804092984718
2022-07-22,205.90325665531566,160.35741278334345
2022-07-25,206.6745693389213,160.5683095685337
2022-07-26,202.4369582871812,158.71483703007993
2022-07-27,208.67407283472212,162.86622576085307
2022-07-28,209.5738050859604,164.84233684034103
2022-07-29,210.44702341680537,167.1843772136207
2022-08-01,210.68573291974428,166.71240165199353
2022-08-02,209.7080381123978,165.60169768897995
2022-08-03,215.4187586068501,168.1914560564663
2022-08-04,214.98549517830915,168.06071408242258
2022-08-05,213.52526220789574,167.78749003870675
2022-08-08,215.35086752328831,167.57984450895566
2022-08-09,210.9480143924772,166.86784921448088
2022-08-10,217.89165396664333,170.42057212608782
2022-08-11,216.87846790641828,170.30034485048574
2022-08-12,221.09730121671498,173.25035022642177
2022-08-15,221.6408907852061,173.93807475080956
2022-08-16,220.52323505623986,174.26432686956082
2022-08-17,215.55984657738205,173.00303740386562
2022-08-18,215.41556406758286,173.3956783798826
2022-08-19,211.6983606813615,171.15887393113744
2022-08-22,207.04351740365905,167.49606291742563
2022-08-23,208.19121112618305,167.1212297295588
2022-08-24,208.86139565238693,167.60858204943332
2022-08-25,212.8383556903945,169.97045606911556
2022-08-26,204.8235593953027,164.24448136447583
2022-08-29,201.53473018177488,163.1495692135954
2022-08-30,200.5769104959207,161.35033038289316
2022-08-31,199.7244874103101,160.08905079943332
2022-09-01,200.29017583805745,160.56871474018416
2022-09-02,198.04150771019007,158.84476866082272
2022-09-06,196.73411160700533,158.19429028157253
2022-09-07,201.4573623048221,161.0957343528638
2022-09-08,206.9617644756161,162.16069344831513
2022-09-09,211.21078271127885,164.63712234049282
2022-09-12,212.12562601339118,166.37968655130538
2022-09-13,203.45025045519998,159.1859923661708
2022-09-14,204.28327534059875,159.72515724612933
2022-09-15,203.12069674442333,157.9174295752378
2022-09-16,201.0789381214581,156.78324542096743
2022-09-19,200.78652669633578,157.85832392544526
2022-09-20,198.01905145276834,156.07892862338088
2022-09-21,194.7297142492134,153.4074046403815
2022-09-22,192.63991367219748,152.11455131489072
2022-09-23,189.49121772487842,149.4932192053734
2022-09-26,187.52479969687857,147.94738065421978
2022-09-27,188.53652073271525,147.6336789743979
2022-09-28,192.58932207262447,150.53794936500708
2022-09-29,189.42763425099983,147.35761872912872
2022-09-30,186.58849831600477,145.13742631805303
2022-10-03,192.36537946728703,148.89414821455676
2022-10-04,198.97324152946257,153.44788227648755
2022-10-05,198.63597780645935,153.13823231317042
2022-10-06,197.6902091776193,151.56931874241045
2022-10-07,191.68146379399525,147.32482947214635
2022-10-10,188.8663030152357,146.2210035449555
2022-10-11,186.133972078001,145.26776312044626
2022-10-12,185.3066715225552,144.7897198662973
2022-10-13,187.22461872392338,148.5492779643544
2022-10-14,182.4774131188697,145.03420636953553
2022-10-17,187.41047662131194,148.8747197398047
2022-10-18,189.10080859713347,150.57599597121026
2022-10-19,186.5693732430509,149.57133827603218
2022-10-20,186.7883738924298,148.38211007070936
2022-10-21,191.34417735991588,151.90244889698442
2022-10-24,193.168843099694,153.707350248558
2022-10-25,199.95144672476334,156.20765462140758
2022-10-26,197.98367293813587,155.05363682073468
2022-10-27,195.75290467502293,154.1105059230166
2022-10-28,200.73958800738944,157.90568947960938
2022-10-31,198.92616543774872,156.7285966593301
2022-11-01,199.4331022158909,156.085816541439
2022-11-02,191.48867246076148,152.18336131982392
2022-11-03,192.22089832004426,150.572349426356
2022-11-04,194.39547711233755,152.62295279611922
2022-11-07,198.04694289152255,154.09026710496357
2022-11-08,200.44744533504888,154.95284790212
2022-11-09,196.82499735614084,151.733255145087
2022-11-10,210.74274372364874,160.1445099043716
2022-11-11,214.77369117645748,161.62436476990993
2022-11-14,213.14168728400998,160.18012548067193
2022-11-15,216.98957636190184,161.57579358302976
2022-11-16,212.67247622963998,160.2424626214329
2022-11-17,212.3033616287107,159.74742192243474
2022-11-18,211.4433690134971,160.5075931143746
2022-11-21,210.37829752198815,159.8842315890002
2022-11-22,213.78705051177613,162.0554575237806
2022-11-23,215.38090230314506,163.013965179746
2022-11-25,214.22611364938618,162.96782502276866
2022-11-28,212.4911826262903,160.4509184944849
2022-11-29,212.67803261997543,160.19550223891926
2022-11-30,220.90397369518476,165.153212200845
2022-12-01,222.58740717503846,165.0099197878719
2022-12-02,222.01227332280754,164.81278895656243
2022-12-05,219.0084200389357,161.86359392392734
2022-12-06,215.9729808976791,159.5328884746256
2022-12-07,215.31450267904944,159.23577906800244
2022-12-08,216.87399671071628,160.43351587798523
2022-12-09,214.76875208308775,159.25439719945356
2022-12-12,218.129903351651,161.52843791110098
2022-12-13,220.40978871217692,162.7059260207954
2022-12-14,220.29962421851036,161.7211118542552
2022-12-15,213.77756777567473,157.69075086014976
2022-12-16,212.72658020789575,155.93443057769176
2022-12-19,209.85960026372268,154.5298486990235
2022-12-20,209.4996185877087,154.69014843908116
2022-12-21,213.1054705985897,156.99008060741753
2022-12-22,209.54529403325446,154.72130712722628
2022-12-23,209.6791267830031,155.62922762029447
2022-12-27,207.31586809462326,154.99898805909734
2022-12-28,204.2221964994726,153.13580128326757
2022-12-29,207.54432407322395,155.8097562961698
2022-12-30,206.78477620669975,155.41388382918439
2023-01-03,206.74552128286686,154.79214299041186
2023-01-04,209.6972491631729,155.95911640166463
2023-01-05,207.1788708913965,154.1428900083485
2023-01-06,211.87638055190982,157.66363400627404
2023-01-09,212.89381539513843,157.54260626960635
2023-01-10,215.2844455088417,158.64197530864197
2023-01-11,217.82289029159065,160.6804334111263
2023-01-12,219.55066452045193,161.22930264622545
2023-01-13,220.84063972102498,161.87371333295386
2023-01-17,220.4585346109505,161.54503018429972
2023-01-18,218.7258055903691,159.0309697398047
2023-01-19,217.0860676828031,157.81623548497268
2023-01-20,221.469404897059,160.80186631944443
2023-01-23,225.2581041512361,162.712408767203
2023-01-24,224.56366430259757,162.59663837975614
2023-01-25,223.78460514603577,162.56709049597754
2023-01-26,227.23562110987237,164.3566052070684
2023-01-27,226.3476509452956,164.7666487995851
2023-01-30,222.5560764018708,162.62983280838898
2023-01-31,226.79603337910513,165.01113530282333
2023-02-01,231.35025278530148,166.73588184325035
2023-02-02,233.9302053188457,169.18679480368345
2023-02-03,230.72953819351454,167.43493140938068
2023-02-06,228.50422344531216,166.40680340518114
2023-02-07,232.08759596036577,168.54887674559805
2023-02-08,228.48876250195067,166.68123308161302
2023-02-09,226.72662379762156,165.20947176684882
