date,ticker,side,price,shares,value
2021-01-05,LH,BUY,171.80230712890625,0.06350758238699819,10.91074917426538
2021-01-05,GMAB,SELL,42.06999969482422,0.004510894207974252,0.18977331795286112
2021-01-05,HOLX,SELL,76.0199966430664,0.0035604387374105896,0.2706645408657966
2021-01-05,AMAT,SELL,85.97321319580078,0.002118162348271489,0.18210522315126276
2021-01-05,NTES,SELL,92.71839141845703,0.0041101150607240735,0.3810832569751099
2021-01-05,KLAC,SELL,252.2692108154297,0.0002762279545897218,0.06968380810950947
2021-01-05,ICLR,SELL,195.69000244140625,0.00025382878795388134,0.04967175613439423
2021-01-05,ANET,BUY,17.875625610351562,0.0026647330588199887,0.047633770510993045
2021-02-01,GMAB,BUY,40.209999084472656,0.011308166507389856,0.4547013649092104
2021-02-01,IT,BUY,154.00999450683594,0.0023486586540454714,0.3617169064079757
2021-02-01,TTWO,BUY,200.94000244140625,0.0008700103701206309,0.17481988589608832
2021-02-01,OLLI,BUY,92.19999694824219,0.11803757477514738,10.883064034046498
2021-02-01,LH,SELL,192.89285278320312,0.007087326908283101,1.3670947059458864
2021-02-01,INCY,SELL,90.91999816894531,0.007361898841544676,0.6693438291932026
2021-02-01,LOGI,SELL,99.39573669433594,0.007218384583909671,0.7174766534607393
2021-02-01,PANW,SELL,60.22666549682617,0.006259534311223595,0.3769908791279697
2021-02-01,HOLX,SELL,82.88999938964844,0.012229465655683192,1.0137004007353063
2021-02-01,MEDP,SELL,137.5800018310547,0.0023260431114592106,0.32001701553367035
2021-02-01,AMAT,SELL,97.1132583618164,0.014843018071496804,1.441453848846379
2021-02-01,NTES,SELL,107.94476318359375,0.01685553660099372,1.819466906726664
2021-02-01,KLAC,SELL,277.7343444824219,0.004065261910553661,1.129062851876979
2021-02-01,ICLR,SELL,204.47000122070312,0.002529546392966597,0.5172163540577053
2021-02-01,CBOE,SELL,89.0367431640625,0.0034886828611710202,0.31062095989095084
2021-02-01,ANET,SELL,19.762500762939453,0.05967754375497997,1.1793775039881442
2021-02-01,AVGO,SELL,42.14069366455078,0.02402618926816303,1.0124802818761758
2021-04-01,NTES,BUY,97.36529541015625,0.03879885366240108,3.7776618484151037
2021-04-01,MEDP,BUY,169.66000366210938,0.001021992849801861,0.17339131064003335
2021-04-01,IT,BUY,187.27000427246094,0.0019262318189285066,0.36072544096049164
2021-04-01,AVGO,BUY,43.30815124511719,0.05563688112991222,2.409530462780845
2021-04-01,GMAB,BUY,32.939998626708984,0.14203702956969255,4.678699558967496
2021-04-01,HOLX,BUY,74.33999633789062,0.051568574331221265,3.833607626933229
2021-04-01,LH,BUY,207.94346618652344,0.008953747538942035,1.8618732986066604
2021-04-01,PANW,BUY,54.67499923706055,0.06793285101241907,3.7142285772753603
2021-04-01,KLAC,BUY,330.5238952636719,0.001943780461796487,0.6424658897703939
2021-04-01,LOGI,SELL,101.30016326904297,0.10949226190167843,11.091584007336838
2021-04-01,CBOE,BUY,94.97606658935547,0.02090065903665856,1.9850623844270976
2021-04-01,ANET,BUY,19.252500534057617,0.15540246978498024,2.9918861325292045
2021-04-01,RJF,BUY,79.33556365966797,0.17134934396250762,13.594096785979866
2021-04-01,AMAT,SELL,136.04931640625,0.012145326364889806,1.6523633494740633
2021-04-01,OLLI,SELL,88.19999694824219,0.11803757477514738,10.410913734945908
2021-04-01,INCY,SELL,83.01000213623047,0.11969934286430425,9.93624270687128
2021-04-01,TTWO,SELL,180.14999389648438,0.05416076391867259,9.757061289377798
2021-04-01,ICLR,BUY,202.3300018310547,0.013962021179038558,2.8249357707200957
2021-04-05,GMAB,SELL,33.470001220703125,0.0297856323627684,0.9969251515412729
2021-04-05,LH,SELL,207.91879272460938,0.003735034913630074,0.7765839500262306
2021-04-05,RJF,SELL,80.84064483642578,0.012816469083640694,1.0360916252476287
2021-04-05,RJF,BUY,80.84064483642578,2.1973560985251398e-17,1.7763568394002505e-15
2021-04-05,IT,BUY,189.88999938964844,9.354662410394877e-18,1.7763568394002505e-15
2021-04-05,AVGO,BUY,44.44828414916992,3.996457621263259e-17,1.7763568394002505e-15
2021-04-05,HOLX,SELL,74.36000061035156,0.010514456758346415,0.7818550109681546
2021-04-05,LITE,BUY,93.5999984741211,0.13692200899472665,12.815899832980008
2021-04-05,PANW,SELL,55.17166519165039,0.0163432677412457,0.901685295957508
2021-04-05,ICLR,SELL,203.3000030517578,0.0041483971276295144,0.8433691487069837
2021-04-05,IT,SELL,189.88999938964844,0.005099714258452192,0.9683847374248682
2021-04-05,ANET,SELL,19.47624969482422,0.0480680397654301,0.9361851448122565
2021-04-05,CBOE,SELL,95.58816528320312,0.009057687710630763,0.8658077499674111
2021-04-05,KLAC,SELL,337.9378356933594,0.0032050996800201516,1.0831244490474887
2021-04-05,AVGO,SELL,44.44828414916992,0.025559500349158968,1.1360759342302256
2021-04-05,NTES,SELL,96.39714050292969,0.006670567368554515,0.6430236198608075
2021-04-05,AMAT,SELL,137.5201873779297,0.0067274989139002725,0.9251669112243839
2021-04-05,MEDP,SELL,171.4499969482422,0.00537545127074574,0.9216211039647817
2021-05-03,LITE,BUY,83.87000274658203,0.005397000607876473,0.4526464558059047
2021-05-03,HOLX,BUY,65.66999816894531,0.009412401762433718,0.6181124065043999
2021-05-03,AVGO,BUY,40.959617614746094,0.0030833542172571636,0.12629300970966817
2021-05-03,AMAT,BUY,127.7145004272461,0.00026790946332412856,0.03421592326817269
2021-05-03,ULTA,BUY,324.2799987792969,0.036808609137762266,11.936295726261163
2021-05-03,RJF,SELL,82.7031478881836,0.01420589300389299,1.1748720699846746
2021-05-03,GMAB,SELL,36.2400016784668,0.053539093650974076,1.9402568437748915
2021-05-03,KLAC,BUY,296.2048034667969,0.00237360316434041,0.7030726588016183
2021-05-03,IT,SELL,197.41000366210938,0.007026685736368813,1.387138056949059
2021-05-03,MEDP,SELL,168.0399932861328,0.0037176035950096963,0.6247060831459326
2021-05-03,NTES,SELL,100.8452377319336,0.014586450011880515,1.470974019113056
2021-05-03,ICLR,SELL,213.49000549316406,0.00712902331358005,1.5219752263770996
2021-05-03,CBOE,SELL,100.53189086914062,0.015342691622901363,1.542429799872398
2021-05-03,ANET,SELL,19.669374465942383,0.05118034835505751,1.0066854370930045
2021-05-03,PANW,SELL,58.18000030517578,0.027129843279184888,1.578414290262348
2021-05-03,LH,SELL,219.98226928710938,0.007378705379477496,1.623184353778461
2021-07-01,PANW,BUY,61.78166580200195,0.014989991499216456,0.9261066451794413
2021-07-01,AMAT,BUY,132.8491973876953,0.008920919361445534,1.1851369771283906
2021-07-01,MEDP,BUY,178.3699951171875,0.005220968770533732,0.9312641741070902
2021-07-01,AVGO,BUY,43.0684928894043,0.024390668137412853,1.0504693172439854
2021-07-01,ULTA,SELL,348.9800109863281,0.036808609137762266,12.845468821287733
2021-07-01,LH,BUY,228.7542724609375,0.005197972943748281,1.1890585190187757
2021-07-01,LITE,BUY,83.9800033569336,0.019640086592044474,1.6493745379303613
2021-07-01,NTES,BUY,104.12279510498047,0.012265227691504113,1.2770897898384153
2021-07-01,HOLX,BUY,67.98999786376953,0.01828713754920453,1.2433424429048756
2021-07-01,KLAC,BUY,297.5926513671875,0.005407065627948078,1.6091029963374552
2021-07-01,ICLR,SELL,215.85000610351562,0.05591032563181682,12.068244128877206
2021-07-01,NVR,BUY,5111.89013671875,0.0026607233485739456,13.601325442112437
2021-07-01,CBRE,BUY,87.18000030517578,0.1560142853234762,13.601325442112437
2021-07-01,BMY,BUY,56.83736038208008,0.2393025529454517,13.601325442112437
2021-07-01,IT,SELL,248.42999267578125,0.005715364809081129,1.4198680376594428
2021-07-01,ANET,SELL,22.711875915527344,0.007982711943178697,0.18130236312287273
2021-07-01,RJF,SELL,82.91365051269531,0.14432698187497395,11.9666769347337
2021-07-01,GMAB,SELL,41.54999923706055,0.3293679683616988,13.685238834140767
2021-07-01,CBOE,BUY,112.01286315917969,0.0026950243506106103,0.3018773937956034
2021-07-06,CBRE,SELL,84.94000244140625,0.005087891261343388,0.43216549616011685
2021-07-06,NVR,SELL,5185.8701171875,0.00018868143652875507,0.9784774233624809
2021-07-06,BMY,SELL,56.914222717285156,0.014056776616562388,0.8000305150421578
